,song,year,artist,genre,lyrics
246514,violent-hill,2009,coldplay,Rock,"Was a long and dark December
From the rooftops i remember
There was snow
White snow
Clearly i remember
From the windows they were watching
While we froze down below
When the future's architectured
By a carnival of idiots on show
You'd better lie low
If you love me
Won't you let me know?
Was a long and dark December
When the banks became cathedrals
And the fog
Became God
Priests clutched onto bibles
hollowed out to fit their rifles
And the cross was held aloft
Bury me in armour
When i'm dead and hit the ground
A love back home unfolds
If you love me
Won't you let me know?
I don't want to be a soldier
when the captain of some sinking ship
would stow, far below
So if you love me
Why'd you let me go?
I took my love down to violet hill
There we sat in snow
All that time she was silent still
So if you love me
Won't you let me know?
If you love me,
Won't you let me know?"
246515,talk-junkie-xl-remix,2009,coldplay,Rock,"Oh brother, I can't, I can't get through
I've been trying hard to reach you 'cause I don' know what to do
Oh brother, I can't believe it's true
I'm so scared about the future, and I wanna talk to you
Oh, I wanna talk to you
You can take a picture of something you see
In the future where will I be?
You can climb a ladder up to the sun
Or a write a song nobody has sung
Or do something that's never been done
Are you lost or incomplete?
Do you feel like a puzzle, you can't find your missing piece?
Tell me, how do you feel?
Well, I feel like they're talking in a language I don't speak
And they're talking it to me
So you take a picture of something you see
In the future where will I be?
You can climb a ladder up to the sun
Or write a song nobody has sung
Or do something that's never been done
Or do something that's never been done"
246516,the-goldrush,2009,coldplay,Rock,"I went digging for gold
I went down to the valley
Over by the mountain
Where the prospector had been told
I'm marching through the cold
We're marching through the cold
I went digging for gold
I went down with my brother
A bucket and a shovel
and a book about the color of coal
I'm marching through the cold
We're marching through the cold
There's a tiny little crackle on the telephone line
Saying what use the metal if the metal don't shine?
She said bring me back a ring cause I really want one
Now I been digging so long that I never seen the sun
I went digging for gold
I went down to the valley
Over by the mountain
Where the prospector had been told
I'm marching through the cold
We're marching through the cold"
246517,viva-la-viva,2009,coldplay,Rock,"I used to rule the world
Seas would rise when I gave the word
Now in the morning, I sleep alone
Sweep the streets I used to own
I used to roll the dice
Feel the fear in my enemy's eyes
Listen as the crowd would sing
Now the old king is dead! Long live the king!
One minute I held the key
Next the walls were closed on me
And I discovered that my castles stand
Upon pillars of salt and pillars of sand
I hear Jerusalem bells are ringing
Roman Cavalry choirs are singing
Be my mirror, my sword and shield
My missionaries in a foreign field
For some reason I can't explain
Once you go there was never, never a honest word
And that was when I ruled the world
It was a wicked and wild wind
Blew down the doors to let me in
Shattered windows and the sound of drums
People couldn't believe what I'd become
Revolutionaries wait
For my head on a silver plate
Just a puppet on a lonely string
Oh, who would ever want to be king?
I hear Jerusalem bells are ringing
Roman Calvary choirs are singing
Be my mirror, my sword and shield
My missionaries in a foreign field
For some reason I can't explain
I know Saint Peter won't call my name
Never an honest word
But that was when I ruled the world
Oh, oh, oh, oh, oh
I hear Jerusalem bells are ringing
Roman Calvary choirs are singing
Be my mirror, my sword and shield
My missionaries in a foreign field
For some reason I can't explain
I know Saint Peter won't call my name
Never an honest word
But that was when I ruled the world"
246518,i-m-eligible-bachelor,2009,coldplay,Rock,"now the line goes to tell about me
its just the rhythm u need to make on it
i don't have d instrument to play on it ..
better u go through and get what life is all about
i m eligible bachelor
i m drinkin
i m smokin ..
i have done every thing which u never even heard about
hey thats my specialty,
i do the things people even never think
i want people to hate me .. just i showed my attitude ...
n dey say its my fuckin attitude
stil dey starring at me
staring me , sense of liking me
i don't know even, y they love me......
so don't even watch me
u watch me u hate yourself even more !!
coz i`m eligible bachelor
i m a changed guy ...
become a new guy
never ever let u know me completely
but ya you just try for dat.....
my style my cars my way of throwing d money ll completely ruin you ...
throwing d money if u know , i m spending d money
so better to just watch it from d distance
better yo better....
one sitiing gonna make me rich.... ( ya baby one sitting )
but ya i just hate d sittin....
i just walkin in my own style driving on my own wheel... it just round n round
lfe goes swanging hey yo people stick to your own seat ...forget trying,
u don't even watch it
u watch it u hate yourself even more
coz i`m eligible bachelor"
246519,when-i-ruled-the-world,2009,coldplay,Rock,"I used to rule the world
Seas would rise when I gave the word
Now in the morning I sleep alone
Sweep the streets I used to own
I used to roll the dice
Feel the fear in my enemies' eyes
Listen as the crowd would sing
""Now the old king is dead, long live the king!""
One minute I held the key
Next the walls were closed on me
And I discovered that my castle stands
Upon pillars of salt, and pillars of sand
I hear Jerusalem bells a'ringing
Roman Cavalry choirs are singing
Be my mirror, my sword and shield
My missionaries in a foreign field
For some reason I can't explain
Once you'd gone it was never,
never an honest word
That was when I ruled the world
It was the wicked and wild wind
Blew down the doors to let me in
Shattered windows and the sound of drums
People couldn't believe what I'd become
Revolutionaries wait
For my head on a silver plate
Just a puppet on a lonely string
Oh...who would ever wanna be king
I hear Jerusalem bells were ringing
Roman Cavalry choirs were singing
Be my mirror, my sword and shield
My missionaries in a foreign field
For some reason I can't explain
I know St. Peter won't call my name
Never an honest word
But that was when I ruled the world
(Whoa...) Here Jerusalem bells were ringing
(Whoa...) Roman Cavalry choirs were singing
(Whoa...) Be my mirror, my sword and shield
(Whoa...) My missionaries in a foreign field
(Whoa...) For some reason I can't explain
(Whoa...) I know St. Peter won't call my name
Never an honest word
But that was when I ruled the world"
246520,the-world-turned-upside-down,2007,coldplay,Rock,"X and why
The land, sea, rivers, trees
The stars, the sky
That and this
We're part of a bigger plan
Don't know what it is
Don't know what it is
You and me
The land, sun, trees, the sky
The stars, the sea
Three hundred and sixty five degrees
I am the puzzle, you're the missing piece
Hang on a minute, just a minute, please
I'll come
And everything under the sun
And everything under the sun
What is this feeling that I can't explain?
And why am I never gonna sleep again?
What is this thing I've never seen before?
A little boy lost in a breaking storm
Pilots up, and away they fly
Some write your name in the summer sky
Life has really only just begun
Life, it comes
And everything under the sun
X is why
The land, sea, rivers, trees
The stars, the sky
Three hundred and sixty five degrees
All of the surface and the underneath
Searching the measures in this extra key, ah
And everything under the sun
And everything under the sun
What is this feeling that I can't explain?
And why am I never gonna sleep again?
What is this thing I've never seen before?
A little boy lost in a breaking storm
Pilots up, and away they fly
Some write your name in the summer sky
Life has really only just begun
Life, it comes
And everything under the sun
And you don't know that you've been born
Can't see the calm until the storm
Can't tell your right side from your wrong
Can't see the wave you're riding on..."
246521,a-ghost-have-yourself-a-merry-little-christmas,2007,coldplay,Rock,"Maybe I'm just a ghost
Disappear when anybody's close
Go through you when you travel
Travel over near
Maybe I'm just a ghost
Emptied by 'em, anybody knows
Maybe I'm on a rose
Or am I even here?
Yeah!
Every time I try to walk through walls
More walls appear
What's the point of feeling love for you
When you don't believe I'm here?
What's the point of trying to raise your voice
If no one ever hears?
Every time I try to pull you close
You disappear
Maybe I'm a ghost
Just a whisper in a path of smoke
A secret that nobody knows
No one will ever hear
Oh, maybe I'm a ghost
Specter on a roller coast
Fallen out of rose
Something people fear
Yeah!
And every time I thought I walk through walls
It's all become clear
What's the point of feeling love for you
When you don't believe I'm here?
What's the point saying ""Rescue me!""
If no one ever hears?
Every time I try to pull you close
You disappear
Every time I try to pull you close
You disappear
And every time I thought I walk through walls
It's all become clear
Every time I try to pull you close
You disappear
Every time I try to pull you close
You disappear"
246522,animals,2007,coldplay,Rock,"Animals we are
Disposable
Collapsible and raw
I suppose
It's just the state I'm in
Animals that climb
I'm climbin' over you
Until you say
""Off you go, off you go""
Animal I am
Disposable
Collapsible and raw
I don't know which way
I should turn
Animal that runs
I ran away from you
And now I'm in
""Off you go, off you go""
(And you say)
If you're gonna go, go now
If you're gonna go, go now
I forgot to tell you how
If you gonna go, go now
Animal I am
I'm looking for a future
Just like you
Well I don't know
Which way I turn
Animals that climb
I climb all over you
Until I say
And I missed my chance
By a stone slow
If you're gonna go
Go now
If you're gonna go
Go now
I forgot to tell you how
If you gonna go
Go now"
246524,ladder-to-the-sun-live,2007,coldplay,Rock,"From the very start
it came apart, it
Broke up into pieces and
There was a chance I could have missed it
I risked it
But I put myself into your hands
Cause you're not just anyone
You're a ladder to the sun
Oh you're not just anyone
You're a ladder to the sun
I could run my courses
With opposing forces
You said all men are mortals, and
oh if you want me then you can have me
come on, take me, oh baby grab me
Cause if you want me then you can have me
Cause you're not just anyone
You're a ladder to the sun
Oh you're not just anyone
You're a ladder to the sun
Oh now boy what you been and done
Set a course that you couldn't run
Oh now boy what you been and done
I had it all and I risked it
Oh I risked it
I had it all and I risked it on
I risked it on...
Oh I risked it on
A ladder to the
A ladder to the sun
A ladder to the
A ladder to the sun
I had it all and I risked it on
A ladder to the
A ladder to the sun
A ladder to the
A ladder to the sun
A ladder to the
A ladder to the sun
I had it all and I risked it all"
